Region_group_of_destination,Location code of destination,WORLD,Latin America and the Caribbean,Europe and Northern America,Developed regions,Less developed regions,Less developed regions excluding least developed,Middle-income countries,Upper-middle-income-countries,Lower-middle-income countries,Low-income countries,AFRICA,ASIA,EUROPE,Caribbean,Central America,South America,NORTHERN AMERICA,year
  Central Asia,5500,5264938,23,4203436,4203547,728074,715076,4766960,3889918,877042,105783,179,727872,4203107,23,0,0,329,2010
  Eastern Asia,906,7062527,344048,261441,331206,6459990,6403448,5518914,4430654,1088260,512,8948,6143459,100300,0,1956,342092,161141,2010
  South-Eastern Asia,920,8697936,1875,155315,247686,7913659,3804690,7676734,2872790,4803944,12038,6345,7959168,75055,223,215,1437,80260,2010
  Southern Asia,5501,14411845,14121,160577,181831,13656454,4768854,8845054,802935,8042119,4657505,64449,13593138,73399,38,0,14083,87178,2010
  Western Asia,922,30686394,66294,2132163,2144623,26812575,21785328,24689841,5607226,19082615,2862274,3346798,23401752,1992965,262,2839,63193,139198,2010
 EUROPE,908,70627160,4581301,37605309,38048407,31497030,28616564,44487704,26403877,18083827,2375394,8748280,18287405,36683624,731903,223182,3626216,921685,2010
  Eastern Europe,923,19110686,12679,10892770,10901008,7825789,7801518,16706486,10406331,6300155,537023,27974,7788892,10848021,4195,1665,6819,44749,2010
  Northern Europe,924,11294937,493859,5436415,5682859,5394117,4534325,5248990,2411977,2837013,545049,1504143,3432605,5057585,253482,23757,216620,378830,2010
  Southern Europe,925,16206273,3208746,8815681,8888897,7267732,6532541,10176571,6418276,3758295,315624,2510638,1563275,8629868,320388,136596,2751762,185813,2010
  Western Europe,926,24015264,866017,12460443,12575643,11009392,9748180,12355657,7167293,5188364,977698,4705525,5502633,12148150,153838,61164,651015,312293,2010
 LATIN AMERICA AND THE CARIBBEAN,904,8326588,5344184,2346204,2415773,5592580,5184764,4612680,3672884,939796,418956,27847,285869,1147896,781155,635043,3927986,1198308,2010
  Caribbean,915,1338893,771209,441216,442477,794532,418693,320760,302312,18448,376473,2847,21269,167866,663895,15516,91798,273350,2010
  Central America,916,1751028,780384,891597,896509,834456,832018,793397,345812,447585,2559,2120,55863,85448,38125,572815,169444,806149,2010
  South America,931,5236667,3792591,1013391,1076787,3963592,3934053,3498523,3024760,473763,39924,22880,208737,894582,79135,46712,3666744,118809,2010
 NORTHERN AMERICA,905,50970524,24134573,8231212,8757310,40088809,37767109,35383128,24253304,11129824,1541440,1984391,14250937,7081741,5742178,15323326,3069069,1149471,2010
 OCEANIA ,909,7128598,132154,2934737,3590364,3405989,3131737,3018713,1676354,1342359,107172,435368,2575590,2749003,10162,16550,105442,185734,2010
  Australia and New Zealand,927,6830423,127221,2845434,3476542,3248117,2986111,2889873,1628116,1261757,107172,432291,2487507,2685910,5229,16550,105442,159524,2010
  Melanesia,928,110691,0,40237,55524,45161,34826,36960,18488,18472,0,2319,24844,39253,0,0,0,984,2010
  Micronesia,954,114743,4933,21670,24717,83518,82224,66701,7408,59293,0,0,59722,9,4933,0,0,21661,2010
  Polynesia*,957,72741,0,27396,33581,29193,28576,25179,22342,2837,0,758,3517,23831,0,0,0,3565,2010
WORLD,900,191446828,29338206,54849090,56551836,127074327,97124428,123912679,65735241,58177438,18605623,25241406,72806043,51336984,6506671,13978650,8852885,3512106,2005
  Sub-Saharan Africa,947,14290369,9240,542868,551191,12664683,2402601,4161144,313149,3847995,8470451,12526389,130458,516257,3004,305,5931,26611,2005
  Northern Africa and Western Asia,1833,23165804,61466,2205508,2218888,19640588,15705483,17598608,4304892,13293716,2670934,3165115,16417905,2070752,259,3311,57896,134756,2005
  Central and Southern Asia,921,18854544,12207,4334189,4351023,13779050,5664215,14050122,4681095,9369027,3753501,39182,13740524,4269185,42,0,12165,65004,2005
  Eastern and South-Eastern Asia,1832,12979157,322635,370029,493317,11641484,8860795,10666977,6379639,4287338,9240,15795,11368396,168844,204,2175,320256,201185,2005
  Latin America and the Caribbean,1830,7184113,4357513,2215736,2297059,4566568,4218434,3665444,2868439,797005,359807,21850,264943,1248692,703194,563563,3090756,967044,2005
  Oceania (excluding Australia and New Zealand),1835,306039,3473,85857,112346,167866,154454,137438,52896,84542,0,2993,96972,58170,3473,0,0,27687,2005
  Australia and New Zealand,927,5717982,99412,2732969,3258707,2367012,2197587,2119760,1271906,847854,73026,324678,1765158,2600184,4679,14529,80204,132785,2005
  Europe and Northern America,1829,108948820,24472260,42361934,43269305,62247076,57920859,71513186,45863225,25649961,3268664,9145404,29021687,40404900,5791816,13394767,5285677,1957034,2005
  Developed regions,901,116678357,24845504,45201687,46647063,66440897,61933127,74932281,48139323,26792958,3341690,9475935,32333969,43054652,5796495,13411141,5637868,2147035,2005
  Less developed regions,902,74768471,4492702,9647403,9904773,60633430,35191301,48980398,17595918,31384480,15263933,15765471,40472074,8282332,710176,567509,3215017,1365071,2005
" Less developed regions, excluding least developed countries",934,64976460,4469946,9483430,9726175,51971019,32464669,45082776,16907141,28175635,10552226,8930708,38659221,8167604,705264,567015,3197667,1315826,2005
" Less developed regions, excluding China",948,71088981,4452548,9572666,9801514,57346314,31914837,45950331,15065386,30884945,15263933,15765471,37209203,8251961,710176,567509,3174863,1320705,2005
  Least developed countries,941,9792011,22756,163973,178598,8662411,2726632,3897622,688777,3208845,4711707,6834763,1812853,114728,4912,494,17350,49245,2005
  Land-locked Developing Countries (LLDC),1636,11576028,232501,4614485,4619610,6157336,3205848,7931602,5167336,2764266,2671117,3696636,2232370,4599270,1368,12094,219039,15215,2005
  Small island developing States (SIDS),1637,3918084,765577,592620,630853,2968147,2453164,2403783,1660179,743604,366420,104239,2037027,242728,609284,51669,104624,349892,2005
  High-income countries,1503,119026154,25524614,35604502,37107907,77294323,69548247,74521097,43448398,31072699,4640985,11358311,40621384,32997057,6062832,13445463,6016319,2607445,2005
  Middle-income countries,1517,64747471,3700019,18736542,18932075,43365853,25463187,46391985,21556593,24835392,10366885,8542201,31226426,17842762,377094,532693,2790232,893780,2005
 Upper-middle-income countries,1502,38209661,3519406,12897045,13048426,24199062,17882973,28737944,14887250,13850694,3941896,1727970,19039539,12147021,373029,452344,2694033,750024,2005
 Lower-middle-income countries,1501,26537810,180613,5839497,5883649,19166791,7580214,17654041,6669343,10984698,6424989,6814231,12186887,5695741,4065,80349,96199,143756,2005
  Low-income countries,1500,7227899,12110,300774,301643,6221335,2022897,2893997,679393,2214604,3548935,5254581,955233,291643,4829,494,6787,9131,2005
 AFRICA,903,16040087,10748,662187,673429,14208097,3299555,4861426,486435,4374991,9137069,13411177,789396,617032,3032,1129,6587,45155,2005
  Eastern Africa,910,4788649,52,129638,130139,4282512,382162,793510,61823,731687,3462827,4235761,47004,126163,52,0,0,3475,2005
  Middle Africa,911,1961951,169,45657,45688,1699546,277030,639049,65115,573934,1061346,1696870,2525,43259,169,0,0,2398,2005
  Northern Africa,912,1749718,1508,119319,122238,1543414,896954,700282,173286,526996,666618,884788,658938,100775,28,824,656,18544,2005
  Southern Africa,913,1582721,7352,326717,334391,1193257,502830,763914,152780,611134,422621,1116543,70353,311920,2255,300,4797,14797,2005
  Western Africa,914,5957048,1667,40856,40973,5489368,1240579,1964671,33431,1931240,3523657,5477215,10576,34915,528,5,1134,5941,2005
 ASIA,935,53249787,394800,6790407,6940990,43517708,29333539,41615425,15192340,26423085,5767057,2335304,40867887,6408006,477,4662,389661,382401,2005
  Central Asia,5500,5235877,24,4209533,4209645,716005,702512,4729185,3916651,812534,136730,182,715799,4209202,24,0,0,331,2005
  Eastern Asia,906,6228684,316553,234387,293386,5554844,5513597,4769923,3849243,920680,271,7326,5261415,90804,0,1845,314708,143583,2005
  South-Eastern Asia,920,6750473,6082,135642,199931,6086640,3347198,5897054,2530396,3366658,8969,8469,6106981,78040,204,330,5548,57602,2005
  Southern Asia,5501,13618667,12183,124656,141378,13063045,4961703,9320937,764444,8556493,3616771,39000,13024725,59983,18,0,12165,64673,2005
  Western Asia,922,21416086,59958,2086189,2096650,18097174,14808529,16898326,4131606,12766720,2004316,2280327,15758967,1969977,231,2487,57240,116212,2005
